TEAM,NATIONALITY,POSITION,AGE,POTENTIAL,NAME
Borussia Dortmund ,Germany,Mediocampista defensivo|Mediocampista central,26,Muy bueno,Emre Can
Villarreal CF ,Spain,Delantero|Mediocampista lateral,28,Muy bueno,Gerard Moreno
Atlanta United ,Venezuela,Delantero,27,Muy bueno,Josef Martínez
Borussia Mönchengladbach ,Germany,Defensa central,26,Muy bueno,Matthias Ginter
Real Betis ,Portugal,Mediocampista defensivo|Mediocampista central,28,Muy bueno,William Carvalho
West Ham United ,France,Delantero,26,Muy bueno,Sébastien Haller
Chelsea ,Germany,Defensa central,27,Muy bueno,Antonio Rüdiger
Bayer 04 Leverkusen ,Germany,Mediocampista lateral,30,Muy bueno,Karim Bellarabi
Paris Saint-Germain ,Germany,Mediocampista central|Mediocampista ofensivo|Extremo (Extremo izquierdo),26,Muy bueno,Julian Draxler
West Ham United ,Brazil,Mediocampista lateral (Mediocampista derecho)|Mediocampista ofensivo,27,Muy bueno,Felipe Anderson
Tottenham Hotspur ,Brazil,Mediocampista lateral|Delantero central,27,Muy bueno,Lucas Moura
FC Porto ,Portugal,Mediocampista defensivo|Mediocampista central,28,Muy bueno,Danilo Pereira
Real Madrid ,Spain,Defensa lateral|Defensa lateral (lateral derecha)|Defensa central,30,Muy bueno,Nacho Fernández
Bayer 04 Leverkusen ,Germany,Delantero|Extremo (Extremo derecho)|Extremo (Extremo izquierdo),27,Muy bueno,Kevin Volland
Villarreal CF ,Spain,Delantero,26,Muy bueno,Paco Alcácer
Valencia CF ,Netherlands,Portero,31,Muy bueno,Jasper Cillessen
FC Barcelona ,Spain,Defensa lateral|Mediocampista central,28,Muy bueno,Sergi Roberto
Beijing Sinobo Guoan FC ,DR Congo,Delantero,29,Muy bueno,Cédric Bakambu
Genoa ,Italy,Portero,27,Muy bueno,Mattia Perin
Real Sociedad ,Brazil,Delantero,28,Muy bueno,Willian José
TSG 1899 Hoffenheim ,Germany,Portero,30,Muy bueno,Oliver Baumann
PFC CSKA Moscow ,Russia,Lateral (lateral izquierdo)|Mediocampista lateral|Extremo (Extremo derecho),29,Muy bueno,Mário Fernandes
Borussia Dortmund ,Denmark,Mediocampista defensivo|Mediocampista central,28,Muy bueno,Thomas Delaney
FC Porto ,Mexico,Defensa lateral|Mediocampista lateral,27,Muy bueno,Jesús Corona
Real Madrid ,France,Portero,27,Muy bueno,Alphonse Areola
Real Sociedad ,Spain,Mediocampista defensivo|Mediocampista central,30,Muy bueno,Illarramendi
