Year;Month;Day;Flag Tsunami;Flag Earthquake;Volcano Name;Location;Country;Elevation;Volcano Type;Status;Volcanic Explosivity Index;Volcano : Deaths;Volcano : Deaths Description;Volcano : Missing;Volcano : Missing Description;Volcano : Injuries;Volcano : Injuries Description;Volcano : Damage (in M$);Volcano : Damage Description;Volcano : Houses destroyed;Volcano : Houses destroyed Description;Total Effects : Deaths;Total Effects : Deaths Description;Total Effects : Missing;Total Effects : Missing Description;Total Effects : Injuries;Total Effects : Injuries Description;Total Effects : Damages in million Dollars;Total Effects : Damage Description;Total Effects : Houses Destroyed;Total Effects : Houses Destroyed Description;Coordinates;Earthquakes : Houses damaged Description;Total Effects : Houses Damaged Description
1930;09;11;Tsunami;;Stromboli;Italy;Italy;926;Stratovolcano;Historical;3;5;Few (~1 to 50 deaths);;;20.0;Few (~1 to 50 deaths);;MODERATE (~$1 to $5 million);;;6;Few (~1 to 50 deaths);;;20.0;Few (~1 to 50 deaths);;MODERATE (~$1 to $5 million);;;38.789,15.213;;
1934;;;;;Hood;US-Oregon;United States;3426;Stratovolcano;Historical;;1;Few (~1 to 50 deaths);;;;;;;;;1;Few (~1 to 50 deaths);;;;;;;;;45.374,-121.694;;
1946;11;13;Tsunami;;Sarychev Peak;Kuril Is;Russia;1496;Stratovolcano;Historical;4;;;;;;;;;;;;;;;;;;;;;48.092,153.2;;
1954;02;;Tsunami;;Stromboli;Italy;Italy;926;Stratovolcano;Historical;;;;;;;;;;;;;;;;;;;;;;38.789,15.213;;
1955;10;13;;;Sakura-jima;Kyushu-Japan;Japan;1117;Stratovolcano;Historical;3;;Few (~1 to 50 deaths);;;;;;;;;;Few (~1 to 50 deaths);;;;;;;;;31.58,130.67;;
1962;10;;;;Merapi;Java;Indonesia;2947;Stratovolcano;Historical;;2;Few (~1 to 50 deaths);;;;;;;;;2;Few (~1 to 50 deaths);;;;;;;;;-7.542,110.442;;
1990;02;10;;;Kelut;Java;Indonesia;1731;Stratovolcano;Historical;4;32;Few (~1 to 50 deaths);;;;;;;;;32;Few (~1 to 50 deaths);;;;;;;;;-7.93,112.308;;
1993;06;23;;;Unzen;Kyushu-Japan;Japan;1500;Complex volcano;Historical;1;1;Few (~1 to 50 deaths);;;;;;;;Few (~1 to 50 houses);1;Few (~1 to 50 deaths);;;;;;;;Few (~1 to 50 houses);32.75,130.3;;
2010;08;06;;;Karangetang [Api Siau];Sangihe Is-Indonesia;Indonesia;1784;Stratovolcano;Historical;3;4;Few (~1 to 50 deaths);;;5.0;Few (~1 to 50 deaths);;;;Few (~1 to 50 houses);4;Few (~1 to 50 deaths);;;5.0;Few (~1 to 50 deaths);;;;Few (~1 to 50 houses);2.78,125.48;;
2014;11;10;;;Kilauea;Hawaiian Is;United States;1222;Shield volcano;Historical;;;;;;;;14.5;SEVERE (~>$5 to $24 million);1;Few (~1 to 50 houses);;;;;;;14.5;SEVERE (~>$5 to $24 million);1;Few (~1 to 50 houses);19.425,-155.292;;
2016;05;09;;;Sinabung;Sumatra;Indonesia;2460;Stratovolcano;Holocene;;1;Few (~1 to 50 deaths);;;4.0;Few (~1 to 50 deaths);;LIMITED (roughly corresponding to less than $1 million);3;Few (~1 to 50 houses);1;Few (~1 to 50 deaths);;;4.0;Few (~1 to 50 deaths);;LIMITED (roughly corresponding to less than $1 million);;;3.17,98.392;;
2019;01;07;;;Manam;New Guinea-NE of;Papua New Guinea;1807;Stratovolcano;Historical;4;;;;;;;;LIMITED (roughly corresponding to less than $1 million);;;;;;;;;;LIMITED (roughly corresponding to less than $1 million);;;-4.1,145.061;;
2019;05;07;;;Sinabung;Sumatra;Indonesia;2460;Stratovolcano;Holocene;;;;;;;;;MODERATE (~$1 to $5 million);;;;;;;;;;MODERATE (~$1 to $5 million);;;3.17,98.392;;
