Year;Month;Day;Flag Tsunami;Flag Earthquake;Volcano Name;Location;Country;Elevation;Volcano Type;Status;Volcanic Explosivity Index;Volcano : Deaths;Volcano : Deaths Description;Volcano : Missing;Volcano : Missing Description;Volcano : Injuries;Volcano : Injuries Description;Volcano : Damage (in M$);Volcano : Damage Description;Volcano : Houses destroyed;Volcano : Houses destroyed Description;Total Effects : Deaths;Total Effects : Deaths Description;Total Effects : Missing;Total Effects : Missing Description;Total Effects : Injuries;Total Effects : Injuries Description;Total Effects : Damages in million Dollars;Total Effects : Damage Description;Total Effects : Houses Destroyed;Total Effects : Houses Destroyed Description;Coordinates;Earthquakes : Houses damaged Description;Total Effects : Houses Damaged Description
1845;09;02;;;Hekla;Iceland-S;Iceland;1491;Stratovolcano;Historical;4;;;;;;;;LIMITED (roughly corresponding to less than $1 million);;;;;;;;;;LIMITED (roughly corresponding to less than $1 million);;;63.98,-19.7;;
1867;10;21;;;Zao;Honshu-Japan;Japan;1841;Complex volcano;Historical;2;3;Few (~1 to 50 deaths);;;;;;;;;3;Few (~1 to 50 deaths);;;;;;;;;38.15,140.45;;
1870;;;;;Aoba;Vanuatu-SW Pacific;Vanuatu;1496;Shield volcano;Historical;2;;Many (~101 to 1000 deaths);;;;;;SEVERE (~>$5 to $24 million);;Many (~101 to 1000 houses);;Many (~101 to 1000 deaths);;;;;;SEVERE (~>$5 to $24 million);;Many (~101 to 1000 houses);-15.4,167.83;;
1910;03;20;;;Taupo;New Zealand;New Zealand;760;Caldera;Radiocarbon;;1;Few (~1 to 50 deaths);;;;;;;;;1;Few (~1 to 50 deaths);;;;;;;;;-38.82,176.0;;
1952;03;27;;;Hakone;Honshu-Japan;Japan;1438;Complex volcano;Radiocarbon;;1;Few (~1 to 50 deaths);;;;;;;;;1;Few (~1 to 50 deaths);;;;;;;;;35.22,139.02;;
1953;04;27;;;Aso;Kyushu-Japan;Japan;1592;Caldera;Historical;2;6;Few (~1 to 50 deaths);;;;;;;;;6;Few (~1 to 50 deaths);;;;;;;;;32.88,131.1;;
1963;03;17;;;Irazu;Costa Rica;Costa Rica;3432;Stratovolcano;Historical;3;15;Few (~1 to 50 deaths);;;;;;;;;15;Few (~1 to 50 deaths);;;;;;;;;9.979,-83.852;;
1974;10;17;Tsunami;;Ritter Island;New Guinea-NE of;Papua New Guinea;140;Stratovolcano;Historical;1;;;;;;;;;;;;;;;;;;;;;-5.52,148.121;;
1986;10;15;;;Merapi;Java;Indonesia;2947;Stratovolcano;Historical;2;1;Few (~1 to 50 deaths);;;;;;;;;1;Few (~1 to 50 deaths);;;;;;;;;-7.542,110.442;;
1987;01;25;;;Pacaya;Guatemala;Guatemala;2552;Complex volcano;Historical;3;;;;;15.0;Few (~1 to 50 deaths);;LIMITED (roughly corresponding to less than $1 million);63;Some (~51 to 100 houses);;;;;15.0;Few (~1 to 50 deaths);;LIMITED (roughly corresponding to less than $1 million);63;Some (~51 to 100 houses);14.381,-90.601;;
